Date,Clics,Impressions,CTR,Position
2026-03-21,21,783,2.68%,23
2026-03-22,23,723,3.18%,23.5
2026-03-23,32,931,3.44%,19.1
2026-03-24,45,821,5.48%,13.3
2026-03-25,24,702,3.42%,12.7
2026-03-26,40,716,5.59%,10.5
2026-03-27,33,630,5.24%,12.6
2026-03-28,23,624,3.69%,16.1
2026-03-29,19,561,3.39%,14.2
2026-03-30,32,715,4.48%,12.8
2026-03-31,31,681,4.55%,13.8
2026-04-01,35,684,5.12%,14.7
2026-04-02,17,679,2.5%,16.4
2026-04-03,29,612,4.74%,14.9
2026-04-04,13,606,2.15%,17.6
2026-04-05,12,667,1.8%,22.4
2026-04-06,22,608,3.62%,14
2026-04-07,24,739,3.25%,14.2
2026-04-08,20,706,2.83%,13.9
2026-04-09,27,649,4.16%,14.5
2026-04-10,24,638,3.76%,14.4
2026-04-11,17,558,3.05%,16.5
2026-04-12,25,567,4.41%,16.8
2026-04-13,34,785,4.33%,13.9
2026-04-14,24,711,3.38%,15.8
2026-04-15,40,733,5.46%,14.4
2026-04-16,9,619,1.45%,16.4
2026-04-17,14,610,2.3%,17.1
2026-04-18,10,599,1.67%,22.4
2026-04-19,19,620,3.06%,19
2026-04-20,16,661,2.42%,16.5
2026-04-21,19,753,2.52%,15.5
2026-04-22,28,659,4.25%,17.6
2026-04-23,19,603,3.15%,17.8
2026-04-24,20,601,3.33%,21.1
2026-04-25,11,584,1.88%,21.2
2026-04-26,15,548,2.74%,21.5
2026-04-27,21,711,2.95%,16.6
2026-04-28,15,562,2.67%,16.7
2026-04-29,21,619,3.39%,17.7
2026-04-30,19,625,3.04%,15.2
2026-05-01,13,483,2.69%,15.9
2026-05-02,13,436,2.98%,14.9
