wp_slug,shopify_handle,score,method
coloristeur,,0,no_match
coloristeur-masque-1l,,0,no_match
coloristeur-masque-200-ml,,0,no_match
coloristeur-shampoing-1l,,0,no_match
coloristeur-shampoing-200-ml,,0,no_match
etiquette-personnalisable,,0,no_match
gamme-barber,gamme-homme,0.609,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
huiles,,0,no_match
le-gel-apres-rasage,,0,no_match
les-baumes,,0,no_match
les-cires,,0,no_match
testeur-produit,testeurs,0.609,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
serums,,0,no_match
gamme-mixte,gamme-homme,0.727,fuzzy
testeur-coloristeur-masque,,0,no_match
testeur-coloristeur-shampoing,,0,no_match
testeur-creme,testeurs,0.667,fuzzy
testeur-masque,testeurs,0.727,fuzzy
testeur-shampoing,testeurs,0.64,fuzzy
testeur-soin,testeurs,0.8,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
gamme-mixte,gamme-homme,0.727,fuzzy
marketing-personnalisable,,0,no_match
gamme-mixte,gamme-homme,0.727,fuzzy
pack-de-lancement,,0,no_match
gamme-mixte,gamme-homme,0.727,fuzzy
