kind,wp_path,gsc_clicks,gsc_impressions,shopify_handle_match,suggested_target,existing_redirect,status,action
page,/,435,8822,,/,,homepage,"NONE (homepage, DNS swap handles it)"
page,/laboratoire-cosmetique-marque-blanche,146,4892,laboratoire-cosmetique-marque-blanche,/pages/laboratoire-cosmetique-marque-blanche,/,page_match,"CONFLICT — exists pointing to /, recommend /pages/laboratoire-cosmetique-marque-blanche"
page,/creer-sa-marque-de-cosmetique-capillaire-profesionnel-en-ligne,125,2288,creer-sa-marque-de-cosmetique-capillaire-profesionnel-en-ligne,,/pages/les-etapes-de-creation-de-marque,page_missing,KEEP existing → /pages/les-etapes-de-creation-de-marque
page,/testez-les-produits,46,1136,testez-les-produits,/pages/testez-les-produits,/pages/boutique-testeurs,page_match,"CONFLICT — exists pointing to /pages/boutique-testeurs, recommend /pages/testez-les-produits"
page,/laboratoire-cosmetique-lyon,35,1634,laboratoire-cosmetique-lyon,/pages/laboratoire-cosmetique-lyon,/pages/contact,page_match,"CONFLICT — exists pointing to /pages/contact, recommend /pages/laboratoire-cosmetique-lyon"
page,/creme-capillaire-professionnelle-marque-blanche,33,1112,creme-capillaire-professionnelle-marque-blanche,/pages/creme-capillaire-professionnelle-marque-blanche,/pages/boutique-testeurs,page_match,"CONFLICT — exists pointing to /pages/boutique-testeurs, recommend /pages/creme-capillaire-professionnelle-marque-blanche"
page,/laboratoire-cosmetique-a-marseille,22,596,laboratoire-cosmetique-a-marseille,/pages/laboratoire-cosmetique-a-marseille,/pages/contact,page_match,"CONFLICT — exists pointing to /pages/contact, recommend /pages/laboratoire-cosmetique-a-marseille"
page,/contact,15,504,contact,/pages/contact,,page_match,CREATE → /pages/contact
page,/laboratoire-cosmetique-paca,11,387,laboratoire-cosmetique-paca,/pages/laboratoire-cosmetique-paca,,page_match,CREATE → /pages/laboratoire-cosmetique-paca
page,/produit-de-finition-coiffure-marque-blanche,11,626,produit-de-finition-coiffure-marque-blanche,/pages/produit-de-finition-coiffure-marque-blanche,/pages/boutique-testeurs,page_match,"CONFLICT — exists pointing to /pages/boutique-testeurs, recommend /pages/produit-de-finition-coiffure-marque-blanche"
page,/shampoing-en-marque-blanche,11,278,shampoing-en-marque-blanche,/pages/shampoing-en-marque-blanche,/pages/boutique-testeurs,page_match,"CONFLICT — exists pointing to /pages/boutique-testeurs, recommend /pages/shampoing-en-marque-blanche"
page,/huile-seche-cheveux-marque-blanche,10,2540,huile-seche-cheveux-marque-blanche,/pages/huile-seche-cheveux-marque-blanche,,page_match,CREATE → /pages/huile-seche-cheveux-marque-blanche
page,/la-boutique-my-lab,10,564,la-boutique-my-lab,/pages/la-boutique-my-lab,/pages/la-boutique-my-lab,page_match,OK
page,/serum-cheveux-marque-blanche,10,362,serum-cheveux-marque-blanche,/pages/serum-cheveux-marque-blanche,/pages/boutique-testeurs,page_match,"CONFLICT — exists pointing to /pages/boutique-testeurs, recommend /pages/serum-cheveux-marque-blanche"
product,/la-boutique-my-lab,10,564,,,/pages/la-boutique-my-lab,unknown,KEEP existing → /pages/la-boutique-my-lab
product,/produit/huile-a-barbe-au-cbd,8,217,huile-a-barbe-au-cbd,/products/huile-a-barbe-au-cbd,,product_missing,CREATE → /products/huile-a-barbe-au-cbd
page,/laboratoire-cosmetique-aix-en-provence,6,541,laboratoire-cosmetique-aix-en-provence,/pages/laboratoire-cosmetique-aix-en-provence,/pages/contact,page_match,"CONFLICT — exists pointing to /pages/contact, recommend /pages/laboratoire-cosmetique-aix-en-provence"
page,/catalogue-prix-et-formules-mylab,5,60,catalogue-prix-et-formules-mylab,/pages/catalogue-prix-et-formules-mylab,,page_match,CREATE → /pages/catalogue-prix-et-formules-mylab
page,/temoignages-clients-2,5,94,temoignages-clients-2,,,page_missing,INVESTIGATE — no target found
product_cat,/categorie-produit/gamme-barber,5,151,gamme-barber,/collections/gamme-barber,,collection_missing,CREATE → /collections/gamme-barber
product,/produit/pack-barber,4,620,pack-barber,/products/pack-barber,,product_missing,CREATE → /products/pack-barber
product,/produit/shampoing-blond-vanille-testeur-2,3,265,shampoing-blond-vanille-testeur-2,/products/shampoing-blond-vanille-testeur-2,,product_missing,CREATE → /products/shampoing-blond-vanille-testeur-2
page,/faq-my-lab,2,131,faq-my-lab,/pages/faq-my-lab,/pages/faq-my-lab,page_match,OK
page,/rejoignez-nous,2,96,rejoignez-nous,/pages/rejoignez-nous,,page_match,CREATE → /pages/rejoignez-nous
product,/produit/shampoing-volume-2,2,9,shampoing-volume-2,/products/shampoing-volume-2,,product_missing,CREATE → /products/shampoing-volume-2
page,/les-etapes-pour-creer-sa-marque-de-cosmetique-capillaire,1,107,les-etapes-pour-creer-sa-marque-de-cosmetique-capillaire,,/pages/les-etapes-de-creation-de-marque,page_missing,KEEP existing → /pages/les-etapes-de-creation-de-marque
page,/modeles-etiquettes,1,1704,modeles-etiquettes,/pages/modeles-etiquettes,/pages/modeles-etiquettes,page_match,OK
product,/produit/baume-matifiant-a-largile-verte-testeur,1,62,baume-matifiant-a-largile-verte-testeur,/products/baume-matifiant-a-largile-verte-testeur,,product_missing,CREATE → /products/baume-matifiant-a-largile-verte-testeur
product,/produit/creme-ha-repulpe-2,1,70,creme-ha-repulpe-2,/products/creme-ha-repulpe-2,,product_missing,CREATE → /products/creme-ha-repulpe-2
product,/produit/creme-lissante-2,1,5,creme-lissante-2,/products/creme-lissante-2,,product_missing,CREATE → /products/creme-lissante-2
product,/produit/masque-capillaire-pour-homme-au-cbd,1,11,masque-capillaire-pour-homme-au-cbd,/products/masque-capillaire-pour-homme-au-cbd,,product_missing,CREATE → /products/masque-capillaire-pour-homme-au-cbd
product,/produit/masque-intense-testeur,1,6,masque-intense-testeur,/products/masque-intense-testeur,,product_match,CREATE → /products/masque-intense-testeur
product,/produit/shampoing-1l-coloristeur-blond-vanille,1,16,shampoing-1l-coloristeur-blond-vanille,/products/shampoing-1l-coloristeur-blond-vanille,,product_missing,CREATE → /products/shampoing-1l-coloristeur-blond-vanille
product,/produit/shampoing-boucles-1l,1,5,shampoing-boucles-1l,/products/shampoing-boucles-1l,,product_missing,CREATE → /products/shampoing-boucles-1l
product,/produit/shampoing-boucles-testeur,1,12,shampoing-boucles-testeur,/products/shampoing-boucles-testeur,,product_match,CREATE → /products/shampoing-boucles-testeur
product,/produit/shampoing-chocolat-testeur,1,134,shampoing-chocolat-testeur,/products/shampoing-chocolat-testeur,,product_missing,CREATE → /products/shampoing-chocolat-testeur
product,/produit/shampoing-harepulpe-testeur,1,11,shampoing-harepulpe-testeur,/products/shampoing-harepulpe-testeur,,product_missing,CREATE → /products/shampoing-harepulpe-testeur
product,/produit/shampoing-lissant-testeur,1,13,shampoing-lissant-testeur,/products/shampoing-lissant-testeur,,product_match,CREATE → /products/shampoing-lissant-testeur
product,/produit/shampoing-protecteur-de-couleur-testeur,1,16,shampoing-protecteur-de-couleur-testeur,/products/shampoing-protecteur-de-couleur-testeur,,product_match,CREATE → /products/shampoing-protecteur-de-couleur-testeur
product,/produit/shampoing-purifiant-testeur,1,14,shampoing-purifiant-testeur,/products/shampoing-purifiant-testeur,,product_match,CREATE → /products/shampoing-purifiant-testeur
product_cat,/categorie-produit/gamme-mixte/cremes,1,1,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-ha-repulpe,1,1,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
page,/commander,0,0,commander,,,page_missing,INVESTIGATE — no target found
page,/creation-dossier-cosmetologique,0,0,creation-dossier-cosmetologique,/pages/creation-dossier-cosmetologique,,page_match,CREATE → /pages/creation-dossier-cosmetologique
page,/design-editor,0,0,design-editor,,,page_missing,INVESTIGATE — no target found
page,/les-accessoires-my-lab,0,100,les-accessoires-my-lab,/pages/les-accessoires-my-lab,,page_match,CREATE → /pages/les-accessoires-my-lab
page,/masque-capillaire-professionnel-marque-blanche,0,126,masque-capillaire-professionnel-marque-blanche,/pages/masque-capillaire-professionnel-marque-blanche,/pages/boutique-testeurs,page_match,"CONFLICT — exists pointing to /pages/boutique-testeurs, recommend /pages/masque-capillaire-professionnel-marque-blanche"
page,/mon-compte,0,0,mon-compte,,,page_missing,INVESTIGATE — no target found
page,/notre-histoire-mylab,0,64,notre-histoire-mylab,/pages/notre-histoire-mylab,/pages/les-etapes-de-creation-de-marque,page_match,"CONFLICT — exists pointing to /pages/les-etapes-de-creation-de-marque, recommend /pages/notre-histoire-mylab"
page,/pack-technique,0,0,pack-technique,,,page_missing,INVESTIGATE — no target found
page,/partez-a-la-decouverte-de-votre-marque,0,0,partez-a-la-decouverte-de-votre-marque,/pages/partez-a-la-decouverte-de-votre-marque,,page_match,CREATE → /pages/partez-a-la-decouverte-de-votre-marque
page,/request-quote,0,0,request-quote,,,page_missing,INVESTIGATE — no target found
product,/produit/adhesion-mylab,0,14,adhesion-mylab,/products/adhesion-mylab,,product_missing,CREATE → /products/adhesion-mylab
product,/produit/azul,0,4,azul,/products/azul,,product_match,CREATE → /products/azul
product,/produit/bain-miraculeux,0,11,bain-miraculeux,/products/bain-miraculeux,,product_match,CREATE → /products/bain-miraculeux
product,/produit/bain-miraculeux-testeur,0,8,bain-miraculeux-testeur,/products/bain-miraculeux-testeur,,product_match,CREATE → /products/bain-miraculeux-testeur
product,/produit/baume-apaisant,0,0,baume-apaisant,/products/baume-apaisant,,product_missing,CREATE → /products/baume-apaisant
product,/produit/baume-matifiant,0,21,baume-matifiant,/products/baume-matifiant,,product_missing,CREATE → /products/baume-matifiant
product,/produit/catalogue-personnalise,0,0,catalogue-personnalise,/products/catalogue-personnalise,,product_match,CREATE → /products/catalogue-personnalise
product,/produit/cire-brillante-de-finition-en-50-ml,0,3,cire-brillante-de-finition-en-50-ml,/products/cire-brillante-de-finition-en-50-ml,,product_missing,CREATE → /products/cire-brillante-de-finition-en-50-ml
product,/produit/cire-gummy-50ml,0,6,cire-gummy-50ml,/products/cire-gummy-50ml,,product_missing,CREATE → /products/cire-gummy-50ml
product,/produit/cire-mat-50ml,0,19,cire-mat-50ml,/products/cire-mat-50ml,,product_missing,CREATE → /products/cire-mat-50ml
product,/produit/coffret-decouverte,0,2,coffret-decouverte,/products/coffret-decouverte,,product_missing,CREATE → /products/coffret-decouverte
product,/produit/coffret-decouverte-barber,0,15,coffret-decouverte-barber,/products/coffret-decouverte-barber,,product_missing,CREATE → /products/coffret-decouverte-barber
product,/produit/creation-de-codes-barres-professionnels,0,28,creation-de-codes-barres-professionnels,/products/creation-de-codes-barres-professionnels,,product_match,CREATE → /products/creation-de-codes-barres-professionnels
product,/produit/creme-boucle,0,7,creme-boucle,/products/creme-boucle,,product_missing,CREATE → /products/creme-boucle
product,/produit/creme-boucles-testeur,0,2,creme-boucles-testeur,/products/creme-boucles-testeur,,product_match,CREATE → /products/creme-boucles-testeur
product,/produit/creme-ha-repulpe-testeur,0,8,creme-ha-repulpe-testeur,/products/creme-ha-repulpe-testeur,,product_match,CREATE → /products/creme-ha-repulpe-testeur
product,/produit/creme-lissante-testeur,0,1,creme-lissante-testeur,/products/creme-lissante-testeur,,product_match,CREATE → /products/creme-lissante-testeur
product,/produit/creme-nourrissante,0,5,creme-nourrissante,/products/creme-nourrissante,,product_match,CREATE → /products/creme-nourrissante
product,/produit/creme-protecteur-de-couleur-testeur,0,1,creme-protecteur-de-couleur-testeur,/products/creme-protecteur-de-couleur-testeur,,product_missing,CREATE → /products/creme-protecteur-de-couleur-testeur
