finished_sku,bulk_sku,bulk_qty_kg,flacon_sku,bouchon_sku,contenance,family
shampoing-nourrissant,BULK-shampoing-nourrissant,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
shampoing-nourrissant-500ml,BULK-shampoing-nourrissant,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-nourrissant-1000ml,BULK-shampoing-nourrissant,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
shampoing-boucles,BULK-shampoing-boucles,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
shampoing-boucles-500ml,BULK-shampoing-boucles,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-boucles-1000ml,BULK-shampoing-boucles,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
shampoing-lissant,BULK-shampoing-lissant,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
shampoing-lissant-500ml,BULK-shampoing-lissant,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-lissant-1000ml,BULK-shampoing-lissant,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
shampoing-ha-repulpe,BULK-shampoing-ha-repulpe,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
shampoing-ha-repulpe-500ml,BULK-shampoing-ha-repulpe,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-ha-repulpe-1000ml,BULK-shampoing-ha-repulpe,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
shampoing-volume,BULK-shampoing-volume,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
shampoing-volume-500ml,BULK-shampoing-volume,0.5,FLACON-PLA-500,BOUCHON-24-410,500,shampoings
shampoing-volume-1000ml,BULK-shampoing-volume,1.0,FLACON-PLA-1000,BOUCHON-28-410,1000,shampoings
shampoing-purifiant,BULK-shampoing-purifiant,0.2,FLACON-PLA-200,BOUCHON-24-410,200,shampoings
