sku,location,quantity,lot_name,note
BULK-shampoing-nourrissant,MYVO/Stock/Bulk,,,
BULK-shampoing-boucles,MYVO/Stock/Bulk,,,
BULK-shampoing-lissant,MYVO/Stock/Bulk,,,
BULK-shampoing-ha-repulpe,MYVO/Stock/Bulk,,,
BULK-shampoing-volume,MYVO/Stock/Bulk,70,220A526C,
BULK-shampoing-purifiant,MYVO/Stock/Bulk,,,
BULK-shampoing-protecteur-de-couleur,MYVO/Stock/Bulk,,,
BULK-shampoing-gel-douche,MYVO/Stock/Bulk,,,
BULK-masque-nourrissant,MYVO/Stock/Bulk,,,
BULK-masque-boucles,MYVO/Stock/Bulk,,,
BULK-masque-lissant,MYVO/Stock/Bulk,200,130B126C,
BULK-masque-ha-repulpe,MYVO/Stock/Bulk,,,
BULK-masque-volume,MYVO/Stock/Bulk,,,
BULK-masque-protecteur-de-couleur,MYVO/Stock/Bulk,,,
BULK-creme-boucles,MYVO/Stock/Bulk,,,
BULK-creme-ha-repulpe,MYVO/Stock/Bulk,,,
BULK-creme-lissante,MYVO/Stock/Bulk,30,230B725B,
BULK-creme-nourrissante,MYVO/Stock/Bulk,80,230B725A,
BULK-creme-volume,MYVO/Stock/Bulk,,,
BULK-creme-protecteur-de-couleur,MYVO/Stock/Bulk,180,220B725C,
BULK-masque-reparateur-sans-rincage,MYVO/Stock/Bulk,,,
BULK-spray-texturisant,MYVO/Stock/Bulk,,,
BULK-serum-finition-ultime,MYVO/Stock/Bulk,,,
BULK-serum-barbe,MYVO/Stock/Bulk,,,
BULK-bain-miraculeux,MYVO/Stock/Bulk,,,
BULK-huile-a-barbe,MYVO/Stock/Bulk,,,
BULK-masque-intense,MYVO/Stock/Bulk,,,
BULK-shampoing-coloristeur-blond-soleil,MYVO/Stock/Bulk,,,
BULK-shampoing-coloristeur-blond-vanille,MYVO/Stock/Bulk,30,130A426A,
BULK-shampoing-coloristeur-chocolat,MYVO/Stock/Bulk,,,
BULK-shampoing-coloristeur-cuivre,MYVO/Stock/Bulk,,,
BULK-shampoing-coloristeur-marron-noisette,MYVO/Stock/Bulk,,,
BULK-shampoing-dejaunisseur-platine,MYVO/Stock/Bulk,100,260A526A,
BULK-masque-coloristeur-blond-soleil,MYVO/Stock/Bulk,,,
BULK-masque-coloristeur-blond-vanille,MYVO/Stock/Bulk,,,
BULK-masque-coloristeur-chocolat,MYVO/Stock/Bulk,100,160B426B,
BULK-masque-coloristeur-cuivre,MYVO/Stock/Bulk,100,160B426A,
BULK-masque-coloristeur-marron-noisette,MYVO/Stock/Bulk,,,
BULK-masque-coloristeur-rouge,MYVO/Stock/Bulk,20,210B126D,
BULK-masque-dejaunisseur-platine,MYVO/Stock/Bulk,100,260B526B,
FLACON-PLA-200,MYVO/Stock/Packaging,1600,,
FLACON-PLA-500,MYVO/Stock/Packaging,,,
FLACON-PLA-1000,MYVO/Stock/Packaging,315,,
FLACON-AMBRE-200,MYVO/Stock/Packaging,6186,,
POT-200,MYVO/Stock/Packaging,,,
CAPOT-200,MYVO/Stock/Packaging,,,
POT-400,MYVO/Stock/Packaging,,,
CAPOT-400,MYVO/Stock/Packaging,,,
BOUTEILLE-VERRE-AMBRE-50,MYVO/Stock/Packaging,,,
BOUCHON-24-410,MYVO/Stock/Packaging,7500,,
BOUCHON-28-410,MYVO/Stock/Packaging,,,
POMPE-200-500,MYVO/Stock/Packaging,,,
POMPE-1000,MYVO/Stock/Packaging,,,
DISPENSER-SERUM,MYVO/Stock/Packaging,,,
PIPETTE,MYVO/Stock/Packaging,,,
PULVERISATEUR-SPRAY,MYVO/Stock/Packaging,,,
shampoing-nourrissant-200-ml,MYVO/Stock/Fini,360,220A526A,
shampoing-nourrissant-500-ml,MYVO/Stock/Fini,12,220A526A,
shampoing-nourrissant-1000-ml,MYVO/Stock/Fini,,,
shampoing-boucles-200-ml,MYVO/Stock/Fini,250,220A526T,
shampoing-boucles-500-ml,MYVO/Stock/Fini,,,
shampoing-boucles-1000-ml,MYVO/Stock/Fini,,,
shampoing-lissant-200-ml,MYVO/Stock/Fini,200,020A725D,
shampoing-lissant-500-ml,MYVO/Stock/Fini,,,
shampoing-lissant-1000-ml,MYVO/Stock/Fini,,,
shampoing-ha-repulpe-200-ml,MYVO/Stock/Fini,320,110A526A,
shampoing-ha-repulpe-500-ml,MYVO/Stock/Fini,,,
shampoing-ha-repulpe-1000-ml,MYVO/Stock/Fini,,,
shampoing-volume-200-ml,MYVO/Stock/Fini,,,
shampoing-volume-500-ml,MYVO/Stock/Fini,,,
shampoing-volume-1000-ml,MYVO/Stock/Fini,,,
shampoing-purifiant-200-ml,MYVO/Stock/Fini,160,110A526C,
shampoing-purifiant-500-ml,MYVO/Stock/Fini,3,110A526C,
shampoing-purifiant-1000-ml,MYVO/Stock/Fini,6,110A526C,
shampoing-protecteur-de-couleur-200-ml,MYVO/Stock/Fini,640,110A526B,
shampoing-protecteur-de-couleur-500-ml,MYVO/Stock/Fini,15,081A426B,
shampoing-protecteur-de-couleur-1000-ml,MYVO/Stock/Fini,12,110A526B,
shampoing-gel-douche-200-ml,MYVO/Stock/Fini,80,171A025A,
shampoing-gel-douche-500-ml,MYVO/Stock/Fini,,,
shampoing-gel-douche-1000-ml,MYVO/Stock/Fini,,,
masque-nourrissant-200-ml,MYVO/Stock/Fini,96,230B725B,
masque-nourrissant-400-ml,MYVO/Stock/Fini,,,
masque-nourrissant-1000-ml,MYVO/Stock/Fini,,,
masque-boucles-200-ml,MYVO/Stock/Fini,60,120B326A,
masque-boucles-400-ml,MYVO/Stock/Fini,,,
masque-boucles-1000-ml,MYVO/Stock/Fini,9,201B025C,
masque-lissant-200-ml,MYVO/Stock/Fini,26,210B725B,
masque-lissant-400-ml,MYVO/Stock/Fini,,,
masque-lissant-1000-ml,MYVO/Stock/Fini,21,210B725B,
masque-ha-repulpe-200-ml,MYVO/Stock/Fini,240,080A426A,
masque-ha-repulpe-400-ml,MYVO/Stock/Fini,,,
masque-ha-repulpe-1000-ml,MYVO/Stock/Fini,,,
masque-volume-200-ml,MYVO/Stock/Fini,336,110B326A,
