Nom;SKU;Contenance (ml);Type;Fermeture;Matériau;Couleur;Éco;Prix (€);MOQ;URL;Compatible Shampoing;Compatible Crème;Compatible Masque;Compatible Spray;Compatible Sérum/Huile;Notes
PH-100 + Z-155-C110-1-290 SPRAY;;100;bottle;spray;biomass_PET;clear;Oui;;100;https://eu.store.takemotopkg.com/products/ph-100-z-155-c110-1-290-spray;;;;X;;A round 100ml biomass PE bottle combined with a finger spray. It is suitable for spray formula. It i
PEPI-300 + Z-155-C110-1-290 SPRAY;;300;bottle;spray;rPET;clear;Oui;;72;https://eu.store.takemotopkg.com/products/pepi-300-z-155-c110-1-290-spray;;;;X;;A round 300ml rPET bottle (guaranteed minimum 72% recycled content) combined with a finger spray. It
AOM-400 + Z-155-C110-1-290 SPRAY;;400;bottle;spray;biomass_PET;clear;Oui;;100;https://eu.store.takemotopkg.com/products/aom-400-z-155-c110-1-290-spray;;;;;;A round 400ml biomass PE bottle combined with a finger spray. It is suitable for spray formula. It i
AOM-300 + Z-155-C110-1-290 SPRAY;;300;bottle;spray;biomass_PET;clear;Oui;;100;https://eu.store.takemotopkg.com/products/aom-300-z-155-c110-1-290-spray;;;;X;;A round 300ml biomass PE bottle combined with a finger spray. It is suitable for spray formula. It i
AOM-200 + Z-155-C110-1-290 SPRAY;;200;bottle;spray;biomass_PET;clear;Oui;;100;https://eu.store.takemotopkg.com/products/aom-200-z-155-c110-1-290-spray;;;;X;;A round 200ml biomass PE bottle combined with a finger spray. It is suitable for spray formula. It i
AMBE-300 + Z-155-C110-1-290 SPRAY;;300;bottle;spray;biomass_PET;clear;Oui;;100;https://eu.store.takemotopkg.com/products/ambe-300-z-155-c110-1-290-spray;;;;X;;A square 300ml biomass PE bottle combined with a finger spray. It is suitable for spray formula. It 
AMBE-200 + Z-155-C110-1-290 SPRAY;;200;bottle;spray;biomass_PET;clear;Oui;;100;https://eu.store.takemotopkg.com/products/ambe-200-z-155-c110-1-290-spray;;;;X;;A square 200ml biomass PE bottle combined with a finger spray. It is suitable for spray formula. It 
AMBE-150 + Z-155-C110-1-290 SPRAY;;150;bottle;spray;biomass_PET;clear;Oui;;100;https://eu.store.takemotopkg.com/products/ambe-150-z-155-c110-1-290-spray;;;;X;;A square 150ml biomass PE bottle combined with a finger spray. It is suitable for spray formula. It 
SUPI-300 + Z-155-C110-1-290 SPRAY;;300;bottle;spray;rPET;clear;Oui;;72;https://eu.store.takemotopkg.com/products/supi-300-z-155-c110-1-290-spray;;;;X;;A round 300ml rPET bottle (guaranteed minimum 72% recycled content) combined with a finger spray. It
S-PMPIN-300 + Z-155-C110-1-290 SPRAY;;300;bottle;spray;rPET;clear;Oui;;72;https://eu.store.takemotopkg.com/products/s-pmpin-300-z-155-c110-1-290-spray;;;;X;;A round 300ml rPET bottle (guaranteed minimum 72% recycled content) combined with a finger spray. It
S-PEWIN-150A + Z-155-C110-1-290 SPRAY;;150;bottle;spray;rPET;clear;Oui;;72;https://eu.store.takemotopkg.com/products/s-pewin-150a-z-155-c110-1-290-spray;;;;X;;A round 150ml rPET bottle (guaranteed minimum 72% recycled content) combined with a finger spray. It
S-PEWIN-120A + Z-155-C110-1-290 SPRAY;;120;bottle;spray;rPET;clear;Oui;;72;https://eu.store.takemotopkg.com/products/s-pewin-120a-z-155-c110-1-290-spray;;;;X;;A round 120ml rPET bottle (guaranteed minimum 72% recycled content) combined with a finger spray. It
