Handle;Nom;Contenance (ml);Prix (€);MOQ;MOQ Source;Review nécessaire;Nb variantes;Paliers de prix;URL;Nouveau
ph-100-z-155-c110-1-290-spray;PH-100 + Z-155-C110-1-290 SPRAY;100;;100;;OUI;1;;https://eu.store.takemotopkg.com/products/ph-100-z-155-c110-1-290-spray;
pepi-300-z-155-c110-1-290-spray;PEPI-300 + Z-155-C110-1-290 SPRAY;300;;72;body_html;;1;;https://eu.store.takemotopkg.com/products/pepi-300-z-155-c110-1-290-spray;
aom-400-z-155-c110-1-290-spray;AOM-400 + Z-155-C110-1-290 SPRAY;400;;100;;OUI;1;;https://eu.store.takemotopkg.com/products/aom-400-z-155-c110-1-290-spray;
aom-300-z-155-c110-1-290-spray;AOM-300 + Z-155-C110-1-290 SPRAY;300;;100;;OUI;1;;https://eu.store.takemotopkg.com/products/aom-300-z-155-c110-1-290-spray;
aom-200-z-155-c110-1-290-spray;AOM-200 + Z-155-C110-1-290 SPRAY;200;;100;;OUI;1;;https://eu.store.takemotopkg.com/products/aom-200-z-155-c110-1-290-spray;
ambe-300-z-155-c110-1-290-spray;AMBE-300 + Z-155-C110-1-290 SPRAY;300;;100;;OUI;1;;https://eu.store.takemotopkg.com/products/ambe-300-z-155-c110-1-290-spray;
ambe-200-z-155-c110-1-290-spray;AMBE-200 + Z-155-C110-1-290 SPRAY;200;;100;;OUI;1;;https://eu.store.takemotopkg.com/products/ambe-200-z-155-c110-1-290-spray;
ambe-150-z-155-c110-1-290-spray;AMBE-150 + Z-155-C110-1-290 SPRAY;150;;100;;OUI;1;;https://eu.store.takemotopkg.com/products/ambe-150-z-155-c110-1-290-spray;
supi-300-z-155-c110-1-290-spray;SUPI-300 + Z-155-C110-1-290 SPRAY;300;;72;body_html;;1;;https://eu.store.takemotopkg.com/products/supi-300-z-155-c110-1-290-spray;
s-pmpin-300-z-155-c110-1-290-spray;S-PMPIN-300 + Z-155-C110-1-290 SPRAY;300;;72;body_html;;1;;https://eu.store.takemotopkg.com/products/s-pmpin-300-z-155-c110-1-290-spray;
s-pewin-150a-z-155-c110-1-290-spray;S-PEWIN-150A + Z-155-C110-1-290 SPRAY;150;;72;body_html;;1;;https://eu.store.takemotopkg.com/products/s-pewin-150a-z-155-c110-1-290-spray;
